name,teammate,g.x,w,l,w_percent
Earl Monroe,Bob McAdoo,154,75,79,0.487
Earl Monroe,Willis Reed,94,62,32,0.66
Ed Macauley,Bob Cousy,441,248,193,0.562
Ed Macauley,Bill Sharman,364,207,157,0.569
Ed Macauley,Chuck Cooper,284,165,119,0.581
Ed Macauley,Bob Pettit,178,97,81,0.545
Ed Macauley,Cliff Hagan,174,94,80,0.54
Ed Macauley,Slater Martin,150,87,63,0.58
Ed Macauley,Don Barksdale,145,79,66,0.545
Ed Macauley,Frank Ramsey,71,37,34,0.521
Ed Macauley,Arnie Risen,70,36,34,0.514
Ed Macauley,Clyde Lovellette,14,9,5,0.643
Ed Macauley,Bob Houbregs,2,1,1,0.5
Elgin Baylor,Jerry West,703,426,277,0.606
Elgin Baylor,Gail Goodrich,226,123,103,0.544
Elgin Baylor,Wilt Chamberlain,133,85,48,0.639
Elgin Baylor,Larry Foust,125,51,74,0.408
Elgin Baylor,Vern Mikkelsen,83,39,44,0.47
Elvin Hayes,Wes Unseld,747,427,320,0.572
Elvin Hayes,Calvin Murphy,295,123,172,0.417
Elvin Hayes,Bob Dandridge,257,142,115,0.553
Elvin Hayes,Dave Bing,159,89,70,0.56
Elvin Hayes,Moses Malone,84,47,37,0.56
Elvin Hayes,Ralph Sampson,81,29,52,0.358
Frank Ramsey,Bill Russell,634,462,172,0.729
Frank Ramsey,Tom Heinsohn,628,454,174,0.723
Frank Ramsey,Bob Cousy,605,421,184,0.696
Frank Ramsey,Sam Jones,573,415,158,0.724
Frank Ramsey,K.C. Jones,494,358,136,0.725
Frank Ramsey,Bill Sharman,424,289,135,0.682
Frank Ramsey,Tom Sanders,346,254,92,0.734
Frank Ramsey,John Havlicek,173,125,48,0.723
Frank Ramsey,Andy Phillip,119,79,40,0.664
Frank Ramsey,Clyde Lovellette,111,79,32,0.712
Frank Ramsey,Arnie Risen,91,59,32,0.648
Frank Ramsey,Ed Macauley,71,37,34,0.521
Frank Ramsey,Don Barksdale,71,37,34,0.521
Frank Ramsey,Carl Braun,54,44,10,0.815
Frank Ramsey,Bob Houbregs,2,1,1,0.5
Gail Goodrich,Jerry West,468,304,164,0.65
Gail Goodrich,Wilt Chamberlain,281,199,82,0.708
Gail Goodrich,Elgin Baylor,226,123,103,0.544
Gail Goodrich,Connie Hawkins,196,94,102,0.48
Gail Goodrich,Pete Maravich,118,52,66,0.441
Gail Goodrich,Kareem Abdul-Jabbar,75,36,39,0.48
Gail Goodrich,Zelmo Beaty,60,20,40,0.333
Gail Goodrich,Spencer Haywood,28,11,17,0.393
Gary Payton,Shaquille O'Neal,208,142,66,0.683
Gary Payton,Alonzo Mourning,152,91,61,0.599
Gary Payton,Dwyane Wade,139,83,56,0.597
Gary Payton,Kobe Bryant,87,61,26,0.701
Gary Payton,Paul Pierce,84,44,40,0.524
Gary Payton,Patrick Ewing,76,41,35,0.539
Gary Payton,Šarūnas Marčiulionis,66,46,20,0.697
Gary Payton,Karl Malone,63,46,17,0.73
Gary Payton,Toni Kukoč,33,17,16,0.515
George Gervin,Louie Dampier,245,141,104,0.576
George Gervin,Artis Gilmore,223,119,104,0.534
George Gervin,Julius Erving,27,12,15,0.444
George Gervin,Michael Jordan,20,9,11,0.45
George McGinnis,Roger Brown,286,161,125,0.563
George McGinnis,Mel Daniels,274,156,118,0.569
George McGinnis,Julius Erving,178,110,68,0.618
George McGinnis,Dan Issel,120,58,62,0.483
George McGinnis,Charlie Scott,109,50,59,0.459
George McGinnis,David Thompson,105,54,51,0.514
George McGinnis,Gus Johnson,65,40,25,0.615
George McGinnis,Billy Cunningham,18,14,4,0.778
George Mikan,Jim Pollard,440,300,140,0.682
George Mikan,Slater Martin,437,289,148,0.661
George Mikan,Vern Mikkelsen,437,289,148,0.661
George Mikan,Clyde Lovellette,126,76,50,0.603
George Yardley,Larry Foust,281,147,134,0.523
George Yardley,Andy Phillip,213,117,96,0.549
George Yardley,Bob Houbregs,212,108,104,0.509
George Yardley,Dick McGuire,122,55,67,0.451
George Yardley,Dolph Schayes,100,58,42,0.58
George Yardley,Larry Costello,95,56,39,0.589
George Yardley,Hal Greer,95,55,40,0.579
George Yardley,Harry Gallatin,79,36,43,0.456
George Yardley,Nat Clifton,75,32,43,0.427
George Yardley,Earl Lloyd,46,19,27,0.413
George Yardley,Chuck Cooper,41,19,22,0.463
Giannis Antetokounmpo,Pau Gasol,3,1,2,0.333
Grant Hill,Steve Nash,364,214,150,0.588
Grant Hill,Joe Dumars,324,174,150,0.537
Grant Hill,Amar'e Stoudemire,220,138,82,0.627
Grant Hill,Dwight Howard,157,69,88,0.439
Grant Hill,Shaquille O'Neal,102,58,44,0.569
Grant Hill,Vince Carter,49,24,25,0.49
Grant Hill,Tracy McGrady,43,20,23,0.465
Grant Hill,Shawn Marion,40,28,12,0.7
Grant Hill,Chris Paul,18,9,9,0.5
Grant Hill,Patrick Ewing,14,7,7,0.5
Grant Hill,Chauncey Billups,12,6,6,0.5
Gus Johnson,Earl Monroe,270,159,111,0.589
Gus Johnson,Wes Unseld,245,151,94,0.616
Gus Johnson,Walt Bellamy,166,71,95,0.428
Gus Johnson,Bailey Howell,125,57,68,0.456
Gus Johnson,Rod Thorn,75,30,45,0.4
Gus Johnson,George McGinnis,65,40,25,0.615
Gus Johnson,Mel Daniels,64,40,24,0.625
Gus Johnson,Roger Brown,55,32,23,0.582
Gus Johnson,Charlie Scott,21,9,12,0.429
Gus Johnson,Connie Hawkins,17,6,11,0.353
Guy Rodgers,Al Attles,468,224,244,0.479
Guy Rodgers,Wilt Chamberlain,454,238,216,0.524
Guy Rodgers,Paul Arizin,288,163,125,0.566
Guy Rodgers,Tom Gola,286,162,124,0.566
Guy Rodgers,Nate Thurmond,235,99,136,0.421
Guy Rodgers,Rick Barry,79,35,44,0.443
Guy Rodgers,Wayne Embry,77,26,51,0.338
Guy Rodgers,Jerry Lucas,75,34,41,0.453
Guy Rodgers,Bob Dandridge,71,44,27,0.62
Guy Rodgers,Kareem Abdul-Jabbar,71,44,27,0.62
Guy Rodgers,Oscar Robertson,58,30,28,0.517
Guy Rodgers,Neil Johnston,21,10,11,0.476
Hakeem Olajuwon,Ralph Sampson,238,141,97,0.592
Hakeem Olajuwon,Clyde Drexler,225,143,82,0.636
Hakeem Olajuwon,Charles Barkley,164,100,64,0.61
Hakeem Olajuwon,Scottie Pippen,54,32,22,0.593
Hakeem Olajuwon,Vince Carter,47,21,26,0.447
Hal Greer,Chet Walker,606,384,222,0.634
Hal Greer,Billy Cunningham,588,364,224,0.619
Hal Greer,Larry Costello,564,313,251,0.555
Hal Greer,Dolph Schayes,389,201,188,0.517
Hal Greer,Wilt Chamberlain,311,224,87,0.72
Hal Greer,George Yardley,95,55,40,0.579
Hal Greer,Bailey Howell,88,49,39,0.557
Harry Gallatin,Dick McGuire,658,363,295,0.552
Harry Gallatin,Nat Clifton,599,323,276,0.539
Harry Gallatin,Carl Braun,503,281,222,0.559
Harry Gallatin,George Yardley,79,36,43,0.456
Harry Gallatin,Richie Guerin,72,36,36,0.5
Harry Gallatin,Bob Houbregs,17,7,10,0.412
Harry Gallatin,Slater Martin,13,8,5,0.615
Isiah Thomas,Joe Dumars,726,443,283,0.61
Isiah Thomas,Dennis Rodman,597,393,204,0.658
Isiah Thomas,Adrian Dantley,228,148,80,0.649
Jack Sikma,Dennis Johnson,296,185,111,0.625
Jack Sikma,Sidney Moncrief,181,97,84,0.536
Jack Sikma,David Thompson,89,50,39,0.562
Jack Sikma,Paul Westphal,36,13,23,0.361
Jack Sikma,Adrian Dantley,13,5,8,0.385
Jack Twyman,Wayne Embry,616,293,323,0.476
Jack Twyman,Oscar Robertson,473,262,211,0.554
Jack Twyman,Jerry Lucas,221,132,89,0.597
Jack Twyman,Maurice Stokes,203,93,110,0.458
Jack Twyman,Bobby Wanzer,94,41,53,0.436
Jack Twyman,Clyde Lovellette,73,32,41,0.438
Jamaal Wilkes,Kareem Abdul-Jabbar,613,401,212,0.654
Jamaal Wilkes,Magic Johnson,429,301,128,0.702
Jamaal Wilkes,Rick Barry,274,170,104,0.62
Jamaal Wilkes,Bob McAdoo,218,150,68,0.688
Jamaal Wilkes,James Worthy,207,140,67,0.676
Jamaal Wilkes,Lou Hudson,138,74,64,0.536
Jamaal Wilkes,Adrian Dantley,98,56,42,0.571
Jamaal Wilkes,Spencer Haywood,87,63,24,0.724
Jamaal Wilkes,Robert Parish,81,44,37,0.543
Jamaal Wilkes,Charlie Scott,23,11,12,0.478
James Harden,Russell Westbrook,326,209,117,0.641
James Harden,Kevin Durant,311,203,108,0.653
James Harden,Dwight Howard,202,117,85,0.579
James Harden,Chris Paul,129,98,31,0.76
James Harden,Kyrie Irving,41,31,10,0.756
James Harden,Carmelo Anthony,7,3,4,0.429
James Worthy,Magic Johnson,794,587,207,0.739
James Worthy,Kareem Abdul-Jabbar,641,470,171,0.733
James Worthy,Vlade Divac,360,214,146,0.594
James Worthy,Bob McAdoo,219,160,59,0.731
James Worthy,Jamaal Wilkes,207,140,67,0.676
Jason Kidd,Shawn Marion,347,226,121,0.651
Jason Kidd,Dirk Nowitzki,344,217,127,0.631
Jason Kidd,Vince Carter,335,181,154,0.54
Jason Kidd,Steve Nash,107,70,37,0.654
Jason Kidd,Carmelo Anthony,74,49,25,0.662
Jason Kidd,Dikembe Mutombo,34,20,14,0.588
Jason Kidd,Amar'e Stoudemire,32,16,16,0.5
Jason Kidd,Alonzo Mourning,13,6,7,0.462
Jerry Lucas,Oscar Robertson,456,256,200,0.561
Jerry Lucas,Bill Bradley,261,161,100,0.617
Jerry Lucas,Walt Frazier,254,159,95,0.626
Jerry Lucas,Dave DeBusschere,247,149,98,0.603
Jerry Lucas,Wayne Embry,240,143,97,0.596
Jerry Lucas,Jack Twyman,221,132,89,0.597
Jerry Lucas,Earl Monroe,203,127,76,0.626
Jerry Lucas,Willis Reed,110,69,41,0.627
Jerry Lucas,Nate Thurmond,110,51,59,0.464
Jerry Lucas,Al Attles,77,30,47,0.39
Jerry Lucas,Guy Rodgers,75,34,41,0.453
Jerry West,Elgin Baylor,703,426,277,0.606
Jerry West,Gail Goodrich,468,304,164,0.65
Jerry West,Wilt Chamberlain,356,257,99,0.722
Jerry West,Connie Hawkins,21,10,11,0.476
Jim Pollard,Slater Martin,444,291,153,0.655
Jim Pollard,Vern Mikkelsen,444,291,153,0.655
Jim Pollard,George Mikan,440,300,140,0.682
Jim Pollard,Clyde Lovellette,153,93,60,0.608
Jimmy Butler,Pau Gasol,128,75,53,0.586
Jimmy Butler,Kyle Lowry,114,66,48,0.579
Jimmy Butler,Dwyane Wade,63,30,33,0.476
Jimmy Butler,Kevin Love,40,23,17,0.575
Jo Jo White,John Havlicek,727,450,277,0.619
Jo Jo White,Dave Cowens,675,425,250,0.63
Jo Jo White,Paul Westphal,264,194,70,0.735
Jo Jo White,Tom Sanders,205,131,74,0.639
Jo Jo White,Charlie Scott,183,103,80,0.563
Jo Jo White,Robert Parish,92,34,58,0.37
Jo Jo White,Bailey Howell,59,23,36,0.39
Jo Jo White,Dave Bing,44,13,31,0.295
Jo Jo White,Tiny Archibald,37,14,23,0.378
Joe Dumars,Isiah Thomas,726,443,283,0.61
Joe Dumars,Dennis Rodman,614,403,211,0.656
Joe Dumars,Grant Hill,324,174,150,0.537
Joe Dumars,Adrian Dantley,214,138,76,0.645
Joe Fulks,Neil Johnston,194,67,127,0.345
Joe Fulks,Andy Phillip,145,76,69,0.524
Joe Fulks,Paul Arizin,131,71,60,0.542
John Havlicek,Tom Sanders,858,580,278,0.676
John Havlicek,Jo Jo White,727,450,277,0.619
John Havlicek,Dave Cowens,653,424,229,0.649
John Havlicek,Bill Russell,630,440,190,0.698
John Havlicek,Sam Jones,598,418,180,0.699
John Havlicek,K.C. Jones,440,316,124,0.718
John Havlicek,Bailey Howell,368,221,147,0.601
John Havlicek,Paul Westphal,255,191,64,0.749
John Havlicek,Tom Heinsohn,247,180,67,0.729
John Havlicek,Frank Ramsey,173,125,48,0.723
John Havlicek,Wayne Embry,171,118,53,0.69
John Havlicek,Charlie Scott,171,96,75,0.561
John Havlicek,Clyde Lovellette,115,83,32,0.722
John Havlicek,Bob Cousy,87,62,25,0.713
John Havlicek,Dave Bing,80,31,49,0.388
John Stockton,Karl Malone,1584,991,593,0.626
John Stockton,Adrian Dantley,141,70,71,0.496
Julius Erving,Maurice Cheeks,765,516,249,0.675
Julius Erving,Bobby Jones,691,473,218,0.685
Julius Erving,Moses Malone,307,220,87,0.717
Julius Erving,Charles Barkley,226,146,80,0.646
Julius Erving,George McGinnis,178,110,68,0.618
Julius Erving,Charlie Scott,73,42,31,0.575
Julius Erving,Bob McAdoo,30,16,14,0.533
Julius Erving,George Gervin,27,12,15,0.444
K.C. Jones,Bill Russell,764,555,209,0.726
K.C. Jones,Sam Jones,745,540,205,0.725
K.C. Jones,Tom Sanders,619,449,170,0.725
K.C. Jones,Tom Heinsohn,566,412,154,0.728
K.C. Jones,Frank Ramsey,494,358,136,0.725
K.C. Jones,John Havlicek,440,316,124,0.718
K.C. Jones,Bob Cousy,398,289,109,0.726
K.C. Jones,Bill Sharman,208,151,57,0.726
K.C. Jones,Clyde Lovellette,116,83,33,0.716
K.C. Jones,Bailey Howell,87,61,26,0.701
K.C. Jones,Wayne Embry,75,54,21,0.72
K.C. Jones,Carl Braun,55,44,11,0.8
Kareem Abdul-Jabbar,Magic Johnson,842,616,226,0.732
Kareem Abdul-Jabbar,James Worthy,641,470,171,0.733
Kareem Abdul-Jabbar,Jamaal Wilkes,613,401,212,0.654
Kareem Abdul-Jabbar,Bob Dandridge,497,349,148,0.702
Kareem Abdul-Jabbar,Oscar Robertson,328,242,86,0.738
Kareem Abdul-Jabbar,Bob McAdoo,276,200,76,0.725
Kareem Abdul-Jabbar,Lou Hudson,147,86,61,0.585
Kareem Abdul-Jabbar,Adrian Dantley,125,75,50,0.6
Kareem Abdul-Jabbar,Spencer Haywood,87,63,24,0.724
Kareem Abdul-Jabbar,Gail Goodrich,75,36,39,0.48
Kareem Abdul-Jabbar,Guy Rodgers,71,44,27,0.62
Kareem Abdul-Jabbar,Charlie Scott,51,30,21,0.588
Karl Malone,John Stockton,1584,991,593,0.626
Karl Malone,Adrian Dantley,75,38,37,0.507
Karl Malone,Gary Payton,63,46,17,0.73
Karl Malone,Kobe Bryant,62,45,17,0.726
Karl Malone,Shaquille O'Neal,61,44,17,0.721
Kawhi Leonard,Tony Parker,438,326,112,0.744
Kawhi Leonard,Manu Ginóbili,405,302,103,0.746
Kawhi Leonard,Tim Duncan,358,271,87,0.757
Kawhi Leonard,Paul George,142,96,46,0.676
Kawhi Leonard,Pau Gasol,80,55,25,0.688
Kawhi Leonard,Kyle Lowry,67,46,21,0.687
Kawhi Leonard,Russell Westbrook,20,11,9,0.55
Kawhi Leonard,Tracy McGrady,6,4,2,0.667
Kevin Durant,Russell Westbrook,608,378,230,0.622
Kevin Durant,James Harden,311,203,108,0.653
Kevin Durant,Klay Thompson,247,189,58,0.765
Kevin Durant,Draymond Green,228,171,57,0.75
Kevin Durant,Stephen Curry,210,164,46,0.781
Kevin Durant,Kyrie Irving,88,54,34,0.614
Kevin Durant,Chris Paul,15,12,3,0.8
Kevin Garnett,Paul Pierce,529,341,188,0.645
Kevin Garnett,Ray Allen,380,257,123,0.676
Kevin Garnett,Chauncey Billups,163,91,72,0.558
Kevin Garnett,Shaquille O'Neal,30,23,7,0.767
Kevin Love,LeBron James,315,219,96,0.695
Kevin Love,Kyrie Irving,215,150,65,0.698
Kevin Love,Shawn Marion,54,36,18,0.667
Kevin Love,Dwyane Wade,42,24,18,0.571
Kevin Love,Jimmy Butler,40,23,17,0.575
Kevin Love,Kyle Lowry,33,21,12,0.636
Kevin McHale,Robert Parish,1106,754,352,0.682
Kevin McHale,Larry Bird,908,647,261,0.713
Kevin McHale,Dennis Johnson,608,418,190,0.688
Kevin McHale,Tiny Archibald,246,175,71,0.711
Kevin McHale,Bill Walton,102,83,19,0.814
Kevin McHale,Artis Gilmore,57,36,21,0.632
Klay Thompson,Draymond Green,744,530,214,0.712
Klay Thompson,Stephen Curry,743,534,209,0.719
Klay Thompson,Kevin Durant,247,189,58,0.765
Kobe Bryant,Shaquille O'Neal,580,412,168,0.71
Kobe Bryant,Pau Gasol,446,301,145,0.675
Kobe Bryant,Gary Payton,87,61,26,0.701
Kobe Bryant,Dwight Howard,72,39,33,0.542
Kobe Bryant,Mitch Richmond,64,46,18,0.719
Kobe Bryant,Karl Malone,62,45,17,0.726
Kobe Bryant,Steve Nash,48,25,23,0.521
Kobe Bryant,Dennis Rodman,23,17,6,0.739
Kobe Bryant,Vlade Divac,13,7,6,0.538
Kyle Lowry,Jimmy Butler,114,66,48,0.579
Kyle Lowry,Kawhi Leonard,67,46,21,0.687
Kyle Lowry,Pau Gasol,39,10,29,0.256
Kyle Lowry,Yao Ming,38,23,15,0.605
Kyle Lowry,Kevin Love,33,21,12,0.636
Kyle Lowry,Dikembe Mutombo,8,6,2,0.75
Kyle Lowry,Tracy McGrady,6,4,2,0.667
Kyrie Irving,LeBron James,235,171,64,0.728
Kyrie Irving,Kevin Love,215,150,65,0.698
Kyrie Irving,Kevin Durant,88,54,34,0.614
Kyrie Irving,Shawn Marion,56,38,18,0.679
Kyrie Irving,James Harden,41,31,10,0.756
Larry Bird,Robert Parish,941,678,263,0.721
Larry Bird,Kevin McHale,908,647,261,0.713
Larry Bird,Dennis Johnson,557,402,155,0.722
Larry Bird,Tiny Archibald,331,239,92,0.722
Larry Bird,Bill Walton,118,97,21,0.822
Larry Bird,Dave Cowens,75,54,21,0.72
Larry Bird,Artis Gilmore,59,38,21,0.644
Larry Bird,Pete Maravich,35,24,11,0.686
Larry Costello,Hal Greer,564,313,251,0.555
Larry Costello,Dolph Schayes,437,229,208,0.524
Larry Costello,Chet Walker,280,171,109,0.611
Larry Costello,Wilt Chamberlain,109,81,28,0.743
Larry Costello,George Yardley,95,56,39,0.589
Larry Costello,Paul Arizin,92,46,46,0.5
Larry Costello,Neil Johnston,90,44,46,0.489
Larry Costello,Billy Cunningham,72,59,13,0.819
Larry Costello,Earl Lloyd,64,33,31,0.516
Larry Foust,Andy Phillip,291,155,136,0.533
Larry Foust,George Yardley,281,147,134,0.523
Larry Foust,Bob Houbregs,194,99,95,0.51
Larry Foust,Cliff Hagan,165,90,75,0.545
Larry Foust,Bob Pettit,164,89,75,0.543
Larry Foust,Vern Mikkelsen,157,58,99,0.369
Larry Foust,Clyde Lovellette,127,71,56,0.559
Larry Foust,Elgin Baylor,125,51,74,0.408
Larry Foust,Lenny Wilkens,86,53,33,0.616
Larry Foust,Chuck Cooper,41,19,22,0.463
Larry Foust,Slater Martin,18,13,5,0.722
LeBron James,Dwyane Wade,371,258,113,0.695
LeBron James,Chris Bosh,356,257,99,0.722
LeBron James,Kevin Love,315,219,96,0.695
LeBron James,Kyrie Irving,235,171,64,0.728
LeBron James,Anthony Davis,188,123,65,0.654
LeBron James,Ray Allen,185,133,52,0.719
LeBron James,Dwight Howard,119,77,42,0.647
LeBron James,Ben Wallace,104,74,30,0.712
LeBron James,Russell Westbrook,97,46,51,0.474
LeBron James,Shaquille O'Neal,64,46,18,0.719
LeBron James,Shawn Marion,55,38,17,0.691
LeBron James,Carmelo Anthony,46,21,25,0.457
Lenny Wilkens,Zelmo Beaty,459,262,197,0.571
Lenny Wilkens,Cliff Hagan,429,239,190,0.557
Lenny Wilkens,Bob Pettit,331,194,137,0.586
Lenny Wilkens,Richie Guerin,312,166,146,0.532
Lenny Wilkens,Rod Thorn,223,105,118,0.471
Lenny Wilkens,Lou Hudson,137,72,65,0.526
Lenny Wilkens,Spencer Haywood,99,59,40,0.596
Lenny Wilkens,Larry Foust,86,53,33,0.616
Lenny Wilkens,Clyde Lovellette,73,45,28,0.616
Lenny Wilkens,Bill Walton,31,10,21,0.323
Lou Hudson,Walt Bellamy,330,158,172,0.479
Lou Hudson,Pete Maravich,286,134,152,0.469
Lou Hudson,Zelmo Beaty,190,106,84,0.558
Lou Hudson,Kareem Abdul-Jabbar,147,86,61,0.585
Lou Hudson,Jamaal Wilkes,138,74,64,0.536
Lou Hudson,Lenny Wilkens,137,72,65,0.526
Lou Hudson,Richie Guerin,126,62,64,0.492
Lou Hudson,Adrian Dantley,121,75,46,0.62
Lou Hudson,Rod Thorn,75,32,43,0.427
Lou Hudson,Connie Hawkins,73,25,48,0.342
Lou Hudson,Charlie Scott,51,30,21,0.588
Louie Dampier,Dan Issel,471,306,165,0.65
Louie Dampier,Artis Gilmore,464,305,159,0.657
Louie Dampier,George Gervin,245,141,104,0.576
Magic Johnson,Kareem Abdul-Jabbar,842,616,226,0.732
Magic Johnson,James Worthy,794,587,207,0.739
Magic Johnson,Jamaal Wilkes,429,301,128,0.702
Magic Johnson,Bob McAdoo,262,193,69,0.737
Magic Johnson,Vlade Divac,221,158,63,0.715
Magic Johnson,Spencer Haywood,84,61,23,0.726
Manu Ginóbili,Tony Parker,1143,811,332,0.71
Manu Ginóbili,Tim Duncan,1055,756,299,0.717
Manu Ginóbili,Kawhi Leonard,405,302,103,0.746
Manu Ginóbili,Pau Gasol,139,89,50,0.64
Manu Ginóbili,David Robinson,75,51,24,0.68
Manu Ginóbili,Tracy McGrady,6,4,2,0.667
Maurice Cheeks,Julius Erving,765,516,249,0.675
Maurice Cheeks,Bobby Jones,709,483,226,0.681
Maurice Cheeks,Charles Barkley,395,229,166,0.58
Maurice Cheeks,Moses Malone,319,229,90,0.718
Maurice Cheeks,Patrick Ewing,119,51,68,0.429
Maurice Cheeks,David Robinson,50,33,17,0.66
Maurice Cheeks,Bob McAdoo,34,20,14,0.588
Maurice Cheeks,Dražen Petrović,30,17,13,0.567
Maurice Cheeks,Dominique Wilkins,29,13,16,0.448
Maurice Cheeks,Bernard King,28,11,17,0.393
Maurice Stokes,Jack Twyman,203,93,110,0.458
Maurice Stokes,Bobby Wanzer,89,40,49,0.449
Maurice Stokes,Clyde Lovellette,63,31,32,0.492
Mel Daniels,Roger Brown,555,340,215,0.613
Mel Daniels,George McGinnis,274,156,118,0.569
Mel Daniels,Gus Johnson,64,40,24,0.625
Mel Daniels,Tiny Archibald,12,4,8,0.333
Michael Jordan,Scottie Pippen,859,631,228,0.735
Michael Jordan,Toni Kukoč,294,239,55,0.813
Michael Jordan,Dennis Rodman,257,210,47,0.817
Michael Jordan,Robert Parish,45,37,8,0.822
Michael Jordan,Artis Gilmore,24,15,9,0.625
Michael Jordan,George Gervin,20,9,11,0.45
Mitch Richmond,Chris Mullin,246,125,121,0.508
Mitch Richmond,Šarūnas Marčiulionis,183,93,90,0.508
Mitch Richmond,Tim Hardaway,161,78,83,0.484
Mitch Richmond,Kobe Bryant,64,46,18,0.719
Mitch Richmond,Ralph Sampson,61,31,30,0.508
Mitch Richmond,Shaquille O'Neal,54,42,12,0.778
Mitch Richmond,Ben Wallace,46,17,29,0.37
Moses Malone,Calvin Murphy,471,247,224,0.524
Moses Malone,Maurice Cheeks,319,229,90,0.718
Moses Malone,Bobby Jones,308,222,86,0.721
Moses Malone,Julius Erving,307,220,87,0.717
Moses Malone,Dominique Wilkins,249,136,113,0.546
Moses Malone,Charles Barkley,164,113,51,0.689
Moses Malone,Rick Barry,160,81,79,0.506
Moses Malone,Elvin Hayes,84,47,37,0.56
Moses Malone,Sidney Moncrief,77,41,36,0.532
Moses Malone,Bernard King,71,31,40,0.437
Moses Malone,Roger Brown,38,19,19,0.5
Moses Malone,Bob McAdoo,28,18,10,0.643
Moses Malone,David Robinson,17,9,8,0.529
Moses Malone,Dennis Rodman,2,2,0,1
Moses Malone,Adrian Dantley,2,2,0,1
Nat Clifton,Harry Gallatin,599,323,276,0.539
Nat Clifton,Dick McGuire,568,311,257,0.548
Nat Clifton,Carl Braun,368,203,165,0.552
Nat Clifton,George Yardley,75,32,43,0.427
Nat Clifton,Richie Guerin,72,36,36,0.5
Nat Clifton,Bob Houbregs,17,7,10,0.412
Nat Clifton,Slater Martin,13,8,5,0.615
Nate Thurmond,Al Attles,441,215,226,0.488
Nate Thurmond,Rick Barry,300,160,140,0.533
Nate Thurmond,Guy Rodgers,235,99,136,0.421
Nate Thurmond,Wilt Chamberlain,125,61,64,0.488
Nate Thurmond,Jerry Lucas,110,51,59,0.464
Nate Thurmond,Chet Walker,87,50,37,0.575
Neil Johnston,Paul Arizin,390,203,187,0.521
Neil Johnston,Joe Fulks,194,67,127,0.345
Neil Johnston,Tom Gola,168,95,73,0.565
Neil Johnston,Larry Costello,90,44,46,0.489
Neil Johnston,Andy Phillip,80,37,43,0.463
Neil Johnston,Guy Rodgers,21,10,11,0.476
Neil Johnston,Al Cervi,1,1,0,1
Neil Johnston,Dolph Schayes,1,1,0,1
Oscar Robertson,Wayne Embry,480,267,213,0.556
Oscar Robertson,Jack Twyman,473,262,211,0.554
Oscar Robertson,Jerry Lucas,456,256,200,0.561
Oscar Robertson,Kareem Abdul-Jabbar,328,242,86,0.738
Oscar Robertson,Bob Dandridge,312,233,79,0.747
Oscar Robertson,Guy Rodgers,58,30,28,0.517
Oscar Robertson,Bob Cousy,7,5,2,0.714
Patrick Ewing,Maurice Cheeks,119,51,68,0.429
Patrick Ewing,Gary Payton,76,41,35,0.539
Patrick Ewing,Tracy McGrady,64,35,29,0.547
Patrick Ewing,Grant Hill,14,7,7,0.5
Pau Gasol,Kobe Bryant,446,301,145,0.675
Pau Gasol,Manu Ginóbili,139,89,50,0.64
Pau Gasol,Jimmy Butler,128,75,53,0.586
Pau Gasol,Tony Parker,116,76,40,0.655
Pau Gasol,Kawhi Leonard,80,55,25,0.688
Pau Gasol,Dwight Howard,50,24,26,0.48
Pau Gasol,Kyle Lowry,39,10,29,0.256
Pau Gasol,Steve Nash,35,14,21,0.4
Pau Gasol,Giannis Antetokounmpo,3,1,2,0.333
Paul Arizin,Tom Gola,429,245,184,0.571
Paul Arizin,Neil Johnston,390,203,187,0.521
Paul Arizin,Guy Rodgers,288,163,125,0.566
Paul Arizin,Wilt Chamberlain,250,147,103,0.588
Paul Arizin,Al Attles,165,96,69,0.582
Paul Arizin,Andy Phillip,136,73,63,0.537
Paul Arizin,Joe Fulks,131,71,60,0.542
Paul Arizin,Larry Costello,92,46,46,0.5
Paul George,Russell Westbrook,168,95,73,0.565
Paul George,Kawhi Leonard,142,96,46,0.676
Paul George,Carmelo Anthony,81,47,34,0.58
Paul Pierce,Kevin Garnett,529,341,188,0.645
Paul Pierce,Ray Allen,436,293,143,0.672
Paul Pierce,Chris Paul,92,61,31,0.663
Paul Pierce,Gary Payton,84,44,40,0.524
Paul Pierce,Shaquille O'Neal,39,29,10,0.744
Paul Westphal,Jo Jo White,264,194,70,0.735
Paul Westphal,John Havlicek,255,191,64,0.749
Paul Westphal,Dave Cowens,245,184,61,0.751
Paul Westphal,Bernard King,72,36,36,0.5
Paul Westphal,Tom Sanders,50,43,7,0.86
Paul Westphal,Jack Sikma,36,13,23,0.361
Pete Maravich,Walt Bellamy,308,143,165,0.464
Pete Maravich,Lou Hudson,286,134,152,0.469
Pete Maravich,Gail Goodrich,118,52,66,0.441
Pete Maravich,Larry Bird,35,24,11,0.686
Pete Maravich,Tiny Archibald,33,23,10,0.697
Pete Maravich,Dave Cowens,28,19,9,0.679
Pete Maravich,Adrian Dantley,15,2,13,0.133
Pete Maravich,Spencer Haywood,11,3,8,0.273
Pete Maravich,Bernard King,10,2,8,0.2
Ralph Sampson,Hakeem Olajuwon,238,141,97,0.592
Ralph Sampson,Elvin Hayes,81,29,52,0.358
Ralph Sampson,Chris Mullin,77,37,40,0.481
Ralph Sampson,Mitch Richmond,61,31,30,0.508
Ray Allen,Paul Pierce,436,293,143,0.672
